detection_time,symbol,pattern_type,outcome,adx,volatility_percentile,validity_score
2023-01-11 05:00:00+00:00,XRP/USDT,bullish,1,21.5646312420108,0.9999988923268316,0.88
2023-01-17 15:00:00+00:00,AVAX/USDT,bullish,0,24.404343926228538,0.40241493839004777,0.718
2023-01-17 20:00:00+00:00,LINK/USDT,bullish,0,14.838437568610116,0.09602663127166088,0.621
2023-01-18 02:00:00+00:00,DOGE/USDT,bullish,1,17.28070106685643,0.3018733708545716,0.722
2023-01-18 14:00:00+00:00,DOT/USDT,bullish,1,19.90556801988732,0.15405626247669196,0.585
2023-01-18 16:00:00+00:00,ADA/USDT,bearish,1,17.751178737928672,0.522103502846394,0.677
2023-01-18 16:00:00+00:00,AVAX/USDT,bearish,0,23.009517559693755,0.4633074786588536,0.697
2023-01-18 17:00:00+00:00,DOGE/USDT,bearish,0,28.50671202555148,0.8001109682943943,0.586
2023-01-18 17:00:00+00:00,BNB/USDT,bearish,0,20.210881185796524,0.5548895876124683,0.708
2023-01-18 17:00:00+00:00,LINK/USDT,bearish,0,21.524170894475105,0.802344451705615,0.644
2023-01-18 21:00:00+00:00,LTC/USDT,bearish,0,25.677817600439994,0.3904668081317207,0.664
2023-01-19 13:00:00+00:00,BTC/USDT,bearish,0,30.035453475655917,0.06492537838064436,0.638
2023-01-20 15:00:00+00:00,ADA/USDT,bullish,1,10.040459212842165,0.18214615428009753,0.683
2023-01-20 17:00:00+00:00,LTC/USDT,bullish,1,18.87216199408928,0.5246447912033801,0.789
2023-01-20 20:00:00+00:00,BTC/USDT,bullish,1,27.242803578053554,0.9999984147755622,0.661
2023-01-20 21:00:00+00:00,ETH/USDT,bullish,0,36.801317722201865,0.7123102890668325,0.79
2023-01-21 10:00:00+00:00,BNB/USDT,bullish,0,30.134522430815814,0.7919267615657247,0.619
2023-01-23 09:00:00+00:00,XRP/USDT,bullish,1,24.182298920098646,0.6030406119179484,0.761
2023-01-23 14:00:00+00:00,ADA/USDT,bearish,1,13.080999731128264,0.39832827124287834,0.867
2023-01-26 06:00:00+00:00,AVAX/USDT,bullish,1,30.28545267633944,0.6840680865736444,0.593
2023-01-26 20:00:00+00:00,LINK/USDT,bullish,0,19.601535431687818,0.12623649600334466,0.622
2023-01-29 11:00:00+00:00,BNB/USDT,bullish,1,22.720001509387675,0.19306089618777778,0.774
2023-01-29 19:00:00+00:00,ETH/USDT,bullish,0,30.853166244098627,0.3077422987528778,0.672
2023-01-29 19:00:00+00:00,BTC/USDT,bullish,0,50.136664061166925,0.19869704637372032,0.623
2023-01-29 20:00:00+00:00,XRP/USDT,bullish,0,10.043195655874822,0.01880195749193527,0.63
2023-01-30 08:00:00+00:00,LTC/USDT,bearish,1,39.1595305133663,0.33470327141538053,0.723
2023-01-30 09:00:00+00:00,DOGE/USDT,bearish,0,20.591819240754212,0.5557100196875459,0.767
2023-01-30 09:00:00+00:00,DOT/USDT,bearish,1,20.918089703247286,0.5167903485292132,0.755
2023-01-30 09:00:00+00:00,LINK/USDT,bearish,1,20.058572979629105,0.6915539335436179,0.649
2023-01-30 10:00:00+00:00,XRP/USDT,bearish,1,15.810006685728165,0.9976697281742891,0.79
2023-01-30 14:00:00+00:00,AVAX/USDT,bearish,1,14.890114757230199,0.9282815751081006,0.717
2023-01-30 20:00:00+00:00,ADA/USDT,bearish,0,29.96970124399064,0.5288574916386423,0.682
2023-01-31 07:00:00+00:00,DOGE/USDT,bullish,1,31.64524280375401,0.8503084562763756,0.629
2023-01-31 21:00:00+00:00,DOT/USDT,bullish,1,21.840864684832322,0.23029399589409544,0.626
2023-02-01 02:00:00+00:00,LTC/USDT,bullish,0,15.523461062875304,0.31858741045847144,0.692
2023-02-01 15:00:00+00:00,BNB/USDT,bearish,0,17.55103746410697,0.15764779050747563,0.712
2023-02-01 20:00:00+00:00,ETH/USDT,bullish,1,20.07466432564136,0.7750782593023198,0.668
2023-02-01 20:00:00+00:00,BTC/USDT,bullish,1,19.420538274999124,0.58347980301016,0.629
2023-02-02 15:00:00+00:00,BTC/USDT,bearish,1,29.271551448137565,0.9251274416667696,0.67
